Best,90th,Median,Worst
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3827
3825,3826,3827,3827
3825,3826,3827,3827
3825,3826,3827,3827
3825,3826,3827,3827
3825,3826,3827,3827
3825,3826,3827,3827
3825,3826,3827,3827
3825,3826,3827,3827
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3726,3826,3827,3829
3726,3826,3827,3829
3726,3826,3827,3829
3726,3826,3827,3829
3726,3826,3827,3829
3726,3826,3827,3829
3726,3826,3827,3829
3726,3826,3827,3829
3726,3826,3827,3829
3726,3826,3827,3830
3726,3826,3826,3827
3726,3826,3826,3827
3726,3826,3826,3827
3726,3826,3826,3827
3726,3826,3826,3827
3726,3826,3826,3827
3726,3826,3826,3828
3726,3826,3826,3828
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3830
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3826,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3925
3726,3826,3827,3926
